Sl. No.,Cause,2017 - (Total),2018 - Male,2018 - Female,2018 - Transgender,2018 - Total,% Var.,Percentage Share of Suicides during 2018
1,Bankruptcy or Indebtedness,5151,4508,462,0,4970,-3.5,3.7
2,Marriage Related Issues (Total),7196,3690,4594,0,8284,15.1,6.2
2,2.1 Non Settlement of Marriage,1972,1545,1040,0,2585,31.1,1.9
2,2.2 Dowry Related Issues,2106,164,1852,0,2016,-4.3,1.5
2,2.3 Extra Marital Affairs,1017,633,630,0,1263,24.2,0.9
2,2.4 Divorce,478,343,303,0,646,35.1,0.5
2,2.5 Others,1623,1005,769,0,1774,9.3,1.3
3,Failure in Examination,2540,1453,1172,0,2625,3.3,2
4,Impotency/Infertility,363,115,182,0,297,-18.2,0.2
5,Family Problems,39038,26975,13959,1,40935,4.9,30.4
6,Illness (Total),23988,16274,7487,3,23764,-0.9,17.7
6,6.1 AIDS/STD,217,146,26,0,172,-20.7,0.1
6,6.2 Cancer,1175,928,339,0,1267,7.8,0.9
6,6.3 Paralysis,1028,868,253,0,1121,9,0.8
6,6.4 Insanity/ Mental Illness,10246,7101,3032,1,10134,-1.1,7.5
6,6.5 Other Prolonged Illness,11322,7231,3837,2,11070,-2.2,8.2
7,Death of Dear Person,1074,714,359,0,1073,-0.1,0.8
8,Drug Abuse/Alcoholic Addiction,6705,7039,153,1,7193,7.3,5.3
9,Fall in Social Reputation,607,399,123,2,524,-13.7,0.4
10,Ideological Causes/Hero Worshipping,94,58,36,0,94,0,0.1
11,Love Affairs,5100,3077,2265,0,5342,4.7,4
12,Poverty,1198,1023,179,0,1202,0.3,0.9
13,Unemployment,2404,2431,310,0,2741,14,2
14,Property Dispute,1301,988,221,0,1209,-7.1,0.9
15,Suspected/Illicit Relation (Other than Sl. No. 2.3),774,410,243,0,653,-15.6,0.5
16,Illegitimate Pregnancy (Other than Sl. No. 2.3),42,0,44,0,44,4.8,0
17,"Physical Abuse (Rape, etc.)",107,101,90,1,192,79.4,0.1
18,Professional/Career Problem,1875,1409,288,0,1697,-9.5,1.3
19,Causes Not Known,14479,10054,4773,1,14828,2.4,11
20,Other Causes,15851,11396,5451,2,16849,6.3,12.5
21,Total,129887,92114,42391,11,134516,3.6,100
﻿Sl. No.,Profession,Male,Female,Transgender,Total,Percentage Share
6,State,Goa,0,37,0,37,48,3,0,51,2,1,0,3,2,0,0,2,0,1,0,1,0,0,0,0,44,2,0,46,2,0,0,2,10,11,0,21,66,5,0,71,21,0,0,21,13,0,0,13,1,0,0,1,7,0,0,7,5,0,0,5,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,27,7,1,0,8,17,3,0,20,195,61,0,256
7,State,Gujarat,0,1811,0,1811,832,24,0,856,75,0,0,75,9,0,0,9,31,0,0,31,35,0,0,35,661,24,0,685,96,0,0,96,268,302,0,570,366,45,0,411,833,58,0,891,368,12,0,380,37,3,0,40,292,9,0,301,39,0,0,39,465,46,0,511,117,15,0,132,21,0,0,21,20,0,0,20,1,0,0,1,96,15,0,111,2317,205,0,2522,221,39,0,260,256,84,0,340,5210,2583,0,7793
8,State,Haryana,0,301,0,301,251,24,0,275,104,20,0,124,21,1,0,22,41,10,0,51,42,9,0,51,108,4,0,112,39,0,0,39,147,46,0,193,359,29,0,388,349,12,0,361,191,0,0,191,83,0,0,83,31,0,0,31,77,0,0,77,158,12,0,170,91,13,0,104,0,0,0,0,0,0,0,0,0,0,0,0,91,13,0,104,372,41,0,413,12,0,0,12,1201,299,0,1500,2782,765,0,3547
9,State,Himachal Pradesh,0,148,0,148,98,18,0,116,10,2,0,12,2,1,0,3,7,1,0,8,1,0,0,1,64,8,0,72,24,8,0,32,65,50,0,115,112,14,0,126,48,0,0,48,30,0,0,30,11,0,0,11,16,0,0,16,3,0,0,3,18,0,0,18,17,0,0,17,5,0,0,5,5,0,0,5,0,0,0,0,12,0,0,12,80,0,0,80,7,0,0,7,66,17,0,83,493,247,0,740
10,State,Jammu & Kashmir,0,55,0,55,20,1,0,21,15,1,0,16,11,0,0,11,4,1,0,5,0,0,0,0,5,0,0,5,0,0,0,0,19,51,0,70,49,27,0,76,10,0,0,10,3,0,0,3,0,0,0,0,1,0,0,1,2,0,0,2,7,0,0,7,24,2,0,26,5,0,0,5,5,0,0,5,0,0,0,0,19,2,0,21,1,0,0,1,0,0,0,0,32,39,0,71,155,175,0,330
11,State,Jharkhand,0,204,0,204,161,5,0,166,36,0,0,36,1,0,0,1,25,0,0,25,10,0,0,10,70,2,0,72,55,3,0,58,233,127,0,360,317,45,0,362,61,7,0,68,61,7,0,68,36,1,0,37,25,6,0,31,0,0,0,0,0,0,0,0,43,15,0,58,0,0,0,0,0,0,0,0,0,0,0,0,43,15,0,58,63,3,0,66,6,0,0,6,25,2,0,27,909,408,0,1317
12,State,Karnataka,0,1577,0,1577,894,174,1,1069,104,33,0,137,12,6,0,18,47,16,0,63,45,11,0,56,649,110,1,760,141,31,0,172,400,355,0,755,840,253,1,1094,1772,146,0,1918,1043,70,0,1113,473,34,0,507,351,27,0,378,219,9,0,228,729,76,0,805,2232,173,0,2405,1321,44,0,1365,1181,41,0,1222,140,3,0,143,911,129,0,1040,1364,178,0,1542,55,18,0,73,858,269,1,1128,8415,3143,3,11561
13,State,Kerala,0,944,0,944,615,89,0,704,48,26,0,74,9,0,0,9,25,23,0,48,14,3,0,17,465,48,0,513,102,15,0,117,177,198,0,375,1252,333,0,1585,1056,36,0,1092,638,8,0,646,86,0,0,86,362,6,0,368,190,2,0,192,418,28,0,446,197,14,0,211,25,0,0,25,23,0,0,23,2,0,0,2,172,14,0,186,2407,137,0,2544,122,32,0,154,538,90,0,628,6364,1873,0,8237
14,State,Madhya Pradesh,0,2876,0,2876,800,85,0,885,129,26,0,155,8,1,0,9,66,21,0,87,55,4,0,59,477,53,0,530,194,6,0,200,373,489,0,862,365,57,0,422,679,26,0,705,594,12,0,606,239,11,0,250,230,0,0,230,125,1,0,126,85,14,0,99,643,12,0,655,302,1,0,303,287,1,0,288,15,0,0,15,341,11,0,352,3063,458,0,3521,8,0,0,8,1495,345,1,1841,7426,4348,1,11775
15,State,Maharashtra,0,2743,0,2743,2148,190,0,2338,210,21,0,231,60,2,0,62,102,9,0,111,48,10,0,58,1596,153,0,1749,342,16,0,358,804,644,0,1448,1150,110,0,1260,1252,53,0,1305,943,26,0,969,451,8,0,459,248,4,0,252,244,14,0,258,309,27,0,336,3360,234,0,3594,2129,110,0,2239,2054,88,0,2142,75,22,0,97,1231,124,0,1355,3664,282,0,3946,273,22,0,295,846,196,1,1043,13497,4474,1,17972
16,State,Manipur,0,9,0,9,3,2,0,5,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,2,0,2,10,4,0,14,17,2,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,35,17,0,52
17,State,Meghalaya,0,6,0,6,10,1,0,11,8,0,0,8,4,0,0,4,4,0,0,4,0,0,0,0,2,1,0,3,0,0,0,0,26,17,0,43,31,9,0,40,25,1,0,26,10,0,0,10,5,0,0,5,2,0,0,2,3,0,0,3,15,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,39,5,1,0,6,17,1,0,18,151,38,0,189
18,State,Mizoram,0,2,0,2,6,0,0,6,4,0,0,4,1,0,0,1,3,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,3,3,0,6,13,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,17,14,3,0,17,14,3,0,17,0,0,0,0,0,0,0,0,29,2,0,31,2,0,0,2,0,0,0,0,67,12,0,79
19,State,Nagaland,0,5,0,5,4,0,0,4,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,4,10,0,0,10,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,0,0,7,1,0,0,1,0,0,0,0,30,6,0,36
20,State,Odisha,0,1470,0,1470,302,29,0,331,97,23,0,120,9,2,0,11,40,10,0,50,48,11,0,59,133,5,0,138,72,1,0,73,238,263,0,501,258,22,0,280,839,55,0,894,317,9,0,326,3,0,0,3,206,0,0,206,108,9,0,117,522,46,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,88,0,363,4,2,0,6,391,356,0,747,2307,2285,0,4592
21,State,Punjab,0,244,0,244,143,8,0,151,33,2,0,35,12,1,0,13,15,0,0,15,6,1,0,7,98,6,0,104,12,0,0,12,74,41,0,115,184,23,0,207,136,5,0,141,111,2,0,113,50,2,0,52,39,0,0,39,22,0,0,22,25,3,0,28,317,6,0,323,226,3,0,229,199,3,0,202,27,0,0,27,91,3,0,94,339,9,0,348,7,0,0,7,155,22,1,178,1355,358,1,1714
22,State,Rajasthan,0,653,0,653,249,24,0,273,38,9,0,47,2,1,0,3,20,6,0,26,16,2,0,18,198,9,0,207,13,6,0,19,221,137,0,358,276,39,0,315,539,44,0,583,249,9,0,258,69,0,0,69,78,0,0,78,102,9,0,111,290,35,0,325,20,0,0,20,2,0,0,2,2,0,0,2,0,0,0,0,18,0,0,18,738,31,0,769,32,1,0,33,1013,315,1,1329,3088,1244,1,4333
23,State,Sikkim,0,20,0,20,14,3,0,17,5,1,0,6,0,0,0,0,5,1,0,6,0,0,0,0,9,0,0,9,0,2,0,2,14,12,0,26,41,7,0,48,31,8,0,39,3,1,0,4,0,0,0,0,0,0,0,0,3,1,0,4,28,7,0,35,8,1,0,9,1,0,0,1,1,0,0,1,0,0,0,0,7,1,0,8,31,3,0,34,3,0,0,3,1,2,0,3,143,56,0,199
24,State,Tamil Nadu,0,2472,0,2472,1194,237,0,1431,135,38,0,173,18,11,0,29,107,27,0,134,10,0,0,10,954,192,0,1146,105,7,0,112,467,486,0,953,1190,389,0,1579,1067,203,0,1270,767,164,0,931,515,132,0,647,172,12,0,184,80,20,0,100,300,39,0,339,303,98,0,401,6,0,0,6,6,0,0,6,0,0,0,0,297,98,0,395,4788,775,2,5565,57,7,0,64,113,48,0,161,9179,4715,2,13896
25,State,Telangana,0,732,0,732,417,73,0,490,42,7,0,49,4,0,0,4,30,6,0,36,8,1,0,9,328,50,0,378,47,16,0,63,232,196,0,428,118,29,0,147,650,139,0,789,427,65,0,492,337,64,0,401,37,1,0,38,53,0,0,53,223,74,0,297,801,107,0,908,793,107,0,900,637,83,0,720,156,24,0,180,8,0,0,8,2277,628,0,2905,16,0,0,16,1101,329,0,1430,5612,2233,0,7845
26,State,Tripura,0,109,0,109,21,7,0,28,11,7,0,18,1,5,0,6,10,2,0,12,0,0,0,0,10,0,0,10,0,0,0,0,36,35,0,71,68,9,0,77,87,18,0,105,86,18,0,104,23,0,0,23,19,18,0,37,44,0,0,44,1,0,0,1,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,253,33,0,286,15,13,0,28,6,0,0,6,493,227,0,720
27,State,Uttar Pradesh,0,1323,0,1323,285,67,0,352,39,23,0,62,5,3,0,8,14,10,0,24,20,10,0,30,187,35,0,222,59,9,0,68,307,206,0,513,759,143,0,902,358,12,0,370,139,6,0,145,33,2,0,35,33,3,0,36,73,1,0,74,219,6,0,225,230,24,0,254,67,13,0,80,28,8,0,36,39,5,0,44,163,11,0,174,517,8,0,525,4,0,0,4,431,175,0,606,2891,1958,0,4849
28,State,Uttarakhand,0,104,0,104,52,3,0,55,10,0,0,10,0,0,0,0,9,0,0,9,1,0,0,1,35,2,0,37,7,1,0,8,9,23,0,32,34,4,0,38,70,0,0,70,70,0,0,70,21,0,0,21,41,0,0,41,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,75,38,0,113,249,172,0,421
29,State,West Bengal,0,2420,0,2420,1051,235,0,1286,64,11,0,75,9,0,0,9,8,0,0,8,47,11,0,58,647,131,0,778,340,93,0,433,292,317,0,609,630,220,0,850,999,54,0,1053,677,32,0,709,137,10,0,147,94,8,0,102,446,14,0,460,322,22,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,220,0,1385,21,2,0,23,3672,1957,0,5629,7830,5425,0,13255
State,State,Total (States),0,22568,0,22568,10175,1363,1,11539,1375,269,0,1644,228,36,0,264,715,158,0,873,432,75,0,507,7092,865,1,7958,1708,229,0,1937,5193,4628,0,9821,10097,2103,1,12201,11860,968,0,12828,7335,497,0,7832,2869,297,0,3166,2450,114,0,2564,2016,86,0,2102,4525,471,0,4996,9517,821,0,10338,5446,306,0,5752,4837,240,0,5077,609,66,0,675,4071,515,0,4586,26333,3495,3,29831,950,139,0,1089,15511,5295,6,20812,89636,41380,11,131027
30,Union Territory,A & N Islands,0,32,0,32,68,8,0,76,11,1,0,12,11,1,0,12,0,0,0,0,0,0,0,0,56,7,0,63,1,0,0,1,5,9,0,14,9,0,0,9,8,2,0,10,1,1,0,2,1,0,0,1,0,1,0,1,0,0,0,0,7,1,0,8,4,0,0,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,6,0,0,6,5,3,0,8,110,54,0,164
31,Union Territory,Chandigarh,0,21,0,21,53,7,0,60,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,48,3,0,51,2,4,0,6,16,7,0,23,21,5,0,26,26,0,0,26,26,0,0,26,13,0,0,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,120,40,0,160
32,Union Territory,D & N Haveli,0,19,0,19,36,6,0,42,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,36,4,0,40,0,0,0,0,6,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,13,4,0,17,1,0,0,1,0,0,0,0,63,38,0,101
33,Union Territory,Daman & Diu,0,4,0,4,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,5,2,0,7,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,35
34,Union Territory,Delhi (UT),0,293,0,293,209,18,0,227,41,4,0,45,21,2,0,23,17,1,0,18,3,1,0,4,98,6,0,104,70,8,0,78,98,105,0,203,477,134,0,611,281,4,0,285,126,4,0,130,50,0,0,50,35,2,0,37,41,2,0,43,155,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,25,0,237,18,0,0,18,484,168,0,652,1779,747,0,2526
35,Union Territory,Lakshadweep,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
36,Union Territory,Puducherry,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,46,30,0,76,77,6,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,33,0,0,0,0,229,69,0,298,374,126,0,500
Union Territory,Union Territory,Total (UTs),0,369,0,369,387,49,0,436,56,7,0,63,35,5,0,40,17,1,0,18,4,1,0,5,258,30,0,288,73,12,0,85,176,162,0,338,590,145,0,735,315,6,0,321,153,5,0,158,64,0,0,64,48,3,0,51,41,2,0,43,162,1,0,163,11,0,0,11,11,0,0,11,11,0,0,11,0,0,0,0,0,0,0,0,256,40,0,296,25,0,0,25,718,240,0,958,2478,1011,0,3489
Total (All India),Total (All India),Total (All India),0,22937,0,22937,10562,1412,1,11975,1431,276,0,1707,263,41,0,304,732,159,0,891,436,76,0,512,7350,895,1,8246,1781,241,0,2022,5369,4790,0,10159,10687,2248,1,12936,12175,974,0,13149,7488,502,0,7990,2933,297,0,3230,2498,117,0,2615,2057,88,0,2145,4687,472,0,5159,9528,821,0,10349,5457,306,0,5763,4848,240,0,5088,609,66,0,675,4071,515,0,4586,26589,3535,3,30127,975,139,0,1114,16229,5535,6,21770,92114,42391,11,134516
﻿Sl. No. - (Col.1),Category - (Col.2),State/UT - (Col.3),Number of Suicides - (Col.4),Percentage Share in Total Suicides - (Col.5),Projected Mid-Year Population # (in Lakh) - (Col.6),Rate of Suicides - (Col.7 = Col.4/Col.6)
1,State,Andhra Pradesh,5319,4,520.3,10.2
2,State,Arunachal Pradesh,132,0.1,14.9,8.9
3,State,Assam,2379,1.8,340.4,7
